stimFile,correctAnswer,intensity,stimuliGender
src\stimFiles\adultFaces\1.jpg,1,2,1
src\stimFiles\adultFaces\2.jpg,4,1,1
src\stimFiles\adultFaces\3.jpg,3,2,1
src\stimFiles\adultFaces\4.jpg,1,1,2
src\stimFiles\adultFaces\5.jpg,3,1,2
src\stimFiles\adultFaces\6.jpg,2,2,1
src\stimFiles\adultFaces\7.jpg,1,1,1
src\stimFiles\adultFaces\8.jpg,4,1,2
src\stimFiles\adultFaces\9.jpg,4,2,1
src\stimFiles\adultFaces\10.jpg,1,1,1
src\stimFiles\adultFaces\11.jpg,2,2,1
src\stimFiles\adultFaces\12.jpg,3,1,1
src\stimFiles\adultFaces\13.jpg,2,1,2
src\stimFiles\adultFaces\14.jpg,2,1,1
src\stimFiles\adultFaces\15.jpg,3,2,1
src\stimFiles\adultFaces\16.jpg,4,1,1
src\stimFiles\adultFaces\17.jpg,2,1,1
src\stimFiles\adultFaces\18.jpg,2,2,2
src\stimFiles\adultFaces\19.jpg,4,2,2
src\stimFiles\adultFaces\20.jpg,3,1,1
src\stimFiles\adultFaces\21.jpg,4,2,2
src\stimFiles\adultFaces\22.jpg,3,2,2
src\stimFiles\adultFaces\23.jpg,1,2,2
src\stimFiles\adultFaces\24.jpg,1,2,2
