stimFile,correctAnswer,intensity,stimuliGender
src\stimFiles\childFaces\1.jpg,3,1,2
src\stimFiles\childFaces\2.jpg,1,2,2
src\stimFiles\childFaces\3.jpg,1,1,1
src\stimFiles\childFaces\4.jpg,4,1,2
src\stimFiles\childFaces\5.jpg,2,2,1
src\stimFiles\childFaces\6.jpg,2,2,2
src\stimFiles\childFaces\7.jpg,3,2,2
src\stimFiles\childFaces\8.jpg,1,2,1
src\stimFiles\childFaces\9.jpg,3,1,1
src\stimFiles\childFaces\10.jpg,2,1,2
src\stimFiles\childFaces\11.jpg,4,1,1
src\stimFiles\childFaces\12.jpg,1,1,2
src\stimFiles\childFaces\13.jpg,2,2,1
src\stimFiles\childFaces\14.jpg,3,1,1
src\stimFiles\childFaces\15.jpg,4,1,2
src\stimFiles\childFaces\16.jpg,1,2,2
src\stimFiles\childFaces\17.jpg,2,1,1
src\stimFiles\childFaces\18.jpg,4,2,1
src\stimFiles\childFaces\19.jpg,4,2,2
src\stimFiles\childFaces\20.jpg,3,2,1
src\stimFiles\childFaces\21.jpg,2,1,2
src\stimFiles\childFaces\22.jpg,4,2,1
src\stimFiles\childFaces\23.jpg,1,1,2
src\stimFiles\childFaces\24.jpg,3,2,1
