stimFile,correctAnswer,intensity,stimuliGender
src\stimFiles\childVoices\1.wav,1,2,2
src\stimFiles\childVoices\2.wav,2,1,2
src\stimFiles\childVoices\3.wav,3,1,2
src\stimFiles\childVoices\4.wav,3,2,1
src\stimFiles\childVoices\5.wav,1,1,2
src\stimFiles\childVoices\6.wav,4,1,2
src\stimFiles\childVoices\7.wav,3,2,2
src\stimFiles\childVoices\8.wav,2,2,1
src\stimFiles\childVoices\9.wav,4,2,1
src\stimFiles\childVoices\10.wav,1,2,2
src\stimFiles\childVoices\11.wav,2,1,2
src\stimFiles\childVoices\12.wav,1,1,2
src\stimFiles\childVoices\13.wav,4,2,1
src\stimFiles\childVoices\14.wav,3,2,2
src\stimFiles\childVoices\15.wav,2,2,1
src\stimFiles\childVoices\16.wav,4,1,2
src\stimFiles\childVoices\17.wav,1,2,1
src\stimFiles\childVoices\18.wav,2,1,1
src\stimFiles\childVoices\19.wav,3,1,2
src\stimFiles\childVoices\20.wav,4,2,1
src\stimFiles\childVoices\21.wav,3,1,1
src\stimFiles\childVoices\22.wav,4,1,1
src\stimFiles\childVoices\23.wav,1,1,2
src\stimFiles\childVoices\24.wav,2,2,1
